Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
				Пользователь	ВетреннаяМарияПетровна	Перем	
				РольАдресации	БухгалтерПоставщиков	Перем	
				ПодразделениеАдресации	Бухгалтерия	Перем	
РегистрСведений	бпсРегистрАдресации	бпсРегистрАдресации_11					
			Запись				
				Пользователь	ЗолотовБорисВикторович	Перем	
				РольАдресации	РуководительПоЗакупкам	Перем	
				ПодразделениеАдресации	ОтделЗакупок	Перем	
РегистрСведений	бпсРегистрАдресации	бпсРегистрАдресации_12					
			Запись				
				Пользователь	Администратор	Наименование	
				РольАдресации	ОтветственныйЗаДоговора	Перем	
				ПодразделениеАдресации	ВсяФирма	Перем	
РегистрСведений	бпсНастройкиПользователей	бпсНастройкиПользователей					
			Запись				
				Пользователь	Администратор	Наименование	
				НеУведомлятьОЗадачахПочтой	Ложь		
				АдресЭлектроннойПочты	bps_1c@bk.ru		
РегистрСведений	бпсНастройкиПользователей	бпсНастройкиПользователей_1					
			Запись				
				Пользователь	МедведевАлексейПетрович	Перем	
				НеУведомлятьОЗадачахПочтой	Ложь		
				АдресЭлектроннойПочты	bps_1c@bk.ru		
РегистрСведений	бпсНастройкиПользователей	бпсНастройкиПользователей_2					
			Запись				
				Пользователь	СидоровАндрейВикторович	Перем	
				НеУведомлятьОЗадачахПочтой	Ложь		
				АдресЭлектроннойПочты	bps_1c@bk.ru		
РегистрСведений	бпсНастройкиПользователей	бпсНастройкиПользователей_3					
			Запись				
				Пользователь	КалининаВикторияСергеевна	Перем	
				НеУведомлятьОЗадачахПочтой	Ложь		
				АдресЭлектроннойПочты	bps_1c@bk.ru		
РегистрСведений	бпсНастройкиПользователей	бпсНастройкиПользователей_4					
			Запись				
				Пользователь	КазимировВикторПетрович	Перем	
				НеУведомлятьОЗадачахПочтой	Ложь		
				АдресЭлектроннойПочты	bps_1c@bk.ru		
РегистрСведений	бпсНастройкиПользователей	бпсНастройкиПользователей_5					
			Запись				
				Пользователь	ВетреннаяМарияПетровна	Перем	
				НеУведомлятьОЗадачахПочтой	Ложь		
				АдресЭлектроннойПочты	bps_1c@bk.ru		
РегистрСведений	бпсНастройкиПользователей	бпсНастройкиПользователей_6					
			Запись				
				Пользователь	ЗолотовБорисВикторович	Перем	
				НеУведомлятьОЗадачахПочтой	Ложь		
				АдресЭлектроннойПочты	bps_1c@bk.ru		
